suite,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,field,passed,score,reason
production-context,openai-large:gpt-5.4,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,case title,False,0.0,"case title: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-5.4,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,plaintiff or petitioner names,False,0.0,"plaintiff or petitioner names: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-5.4,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,defendant or respondent names,False,0.0,"defendant or respondent names: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-5.4,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,document date,False,0.0,"document date: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-5.4,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,filing type,True,1.0,"filing type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-large:gpt-5.4,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,case category,True,1.0,"case category: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-large:gpt-5.4,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,case type,True,1.0,"case type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,document title,True,1.0,"document title: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,court,False,0.0,"court: unexpected value ""COMMONWEALTH OF MASSACHUSETTS THE TRIAL COURT Probate and Family Court"" (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,case title,False,0.0,"case title: unexpected value ""CASE CAPTION"" (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,plaintiff or petitioner names,False,0.0,"plaintiff or petitioner names: unexpected value ""PLAINTIFF ADDRESS"" (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,defendant or respondent names,False,0.0,"defendant or respondent names: unexpected value ""DEFENDANT ADDRESS"" (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,document date,False,0.0,"document date: unexpected value ""DATE"" (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,filing type,True,1.0,"filing type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,case category,False,0.0,"case category: missing (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,case type,False,0.0,"case type: missing (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,docket number,False,0.0,"docket number: unexpected field ""DOCKET / CASE NO."""
production-context,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,document title,True,1.0,"document title: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,court,False,0.0,"court: unexpected value ""THE TRIAL COURT, Probate and Family Court"" (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,case title,False,0.0,"case title: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,plaintiff or petitioner names,False,0.0,"plaintiff or petitioner names: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,defendant or respondent names,False,0.0,"defendant or respondent names: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,document date,False,0.0,"document date: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,filing type,True,1.0,"filing type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,case category,True,1.0,"case category: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,case type,True,1.0,"case type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,document title,True,1.0,"document title: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,court,True,1.0,"court: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,case title,True,1.0,"case title: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,plaintiff or petitioner names,True,1.0,"plaintiff or petitioner names: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,defendant or respondent names,True,1.0,"defendant or respondent names: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,document date,True,1.0,"document date: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,filing type,True,1.0,"filing type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,case category,False,0.0,"case category: missing (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,case type,False,0.0,"case type: missing (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,plaintiff address,False,0.0,"plaintiff address: unexpected field ""44 Sample Avenue, Cambridge, MA 02139"""
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,defendant address,False,0.0,"defendant address: unexpected field ""18 Fiction Lane, Somerville, MA 02143"""
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,date of marriage,False,0.0,"date of marriage: unexpected field ""June 20, 2015"""
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,place of marriage,False,0.0,"place of marriage: unexpected field ""Cambridge, Massachusetts"""
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,last lived together,False,0.0,"last lived together: unexpected field ""Somerville, Massachusetts"""
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,date of separation,False,0.0,"date of separation: unexpected field ""November 2, 2025"""
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,children,False,0.0,"children: unexpected field ""None"""
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,grounds,False,0.0,"grounds: unexpected field ""irretrievable breakdown under G.L. c. 208 §1B"""
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,relief requested,False,0.0,"relief requested: unexpected field ""divorce; equitable division of property; restore former name Taylor Brooks"""
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,primary phone,False,0.0,"primary phone: unexpected field ""617-555-0188"""
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,email,False,0.0,"email: unexpected field ""taylor.morgan@example.com"""
production-context,openai-small:gpt-4o-mini,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,signature,False,0.0,"signature: unexpected field ""Taylor Morgan"""
production-context,openai-large:gpt-4o,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,document title,True,1.0,"document title: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-4o,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,court,False,0.0,"court: unexpected value ""Probate and Family Court"" (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-4o,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,case title,False,0.0,"case title: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-4o,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,plaintiff or petitioner names,False,0.0,"plaintiff or petitioner names: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-4o,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,defendant or respondent names,False,0.0,"defendant or respondent names: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-4o,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,document date,False,0.0,"document date: unexpected value ""Date"" (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-4o,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,filing type,True,1.0,"filing type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-large:gpt-4o,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,case category,False,0.0,"case category: missing (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-large:gpt-4o,document-extraction:v1-production:markitdown,v1-production,markitdown,MA-01,interactive,case type,True,1.0,"case type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-large:gpt-4o,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,document title,True,1.0,"document title: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-4o,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,court,False,0.0,"court: unexpected value ""Probate and Family Court"" (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-4o,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,case title,False,0.0,"case title: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-4o,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,plaintiff or petitioner names,False,0.0,"plaintiff or petitioner names: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-4o,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,defendant or respondent names,False,0.0,"defendant or respondent names: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-4o,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,document date,False,0.0,"document date: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-large:gpt-4o,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,filing type,True,1.0,"filing type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-large:gpt-4o,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,case category,True,1.0,"case category: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-large:gpt-4o,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,case type,True,1.0,"case type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,meta-small:llama-4-scout,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,document title,True,1.0,"document title: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,meta-small:llama-4-scout,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,court,False,0.0,"court: unexpected value ""Probate and Family Court"" (synthetic_document_ground_truth, confidence 0.99)"
production-context,meta-small:llama-4-scout,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,case title,False,0.0,"case title: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,meta-small:llama-4-scout,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,plaintiff or petitioner names,False,0.0,"plaintiff or petitioner names: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,meta-small:llama-4-scout,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,defendant or respondent names,False,0.0,"defendant or respondent names: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,meta-small:llama-4-scout,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,document date,False,0.0,"document date: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,meta-small:llama-4-scout,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,filing type,True,1.0,"filing type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,meta-small:llama-4-scout,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,case category,True,1.0,"case category: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,meta-small:llama-4-scout,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,case type,True,1.0,"case type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,meta-large:llama-4-maverick,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,document title,True,1.0,"document title: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,meta-large:llama-4-maverick,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,court,False,0.0,"court: unexpected value ""Probate and Family Court"" (synthetic_document_ground_truth, confidence 0.99)"
production-context,meta-large:llama-4-maverick,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,case title,False,0.0,"case title: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,meta-large:llama-4-maverick,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,plaintiff or petitioner names,False,0.0,"plaintiff or petitioner names: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,meta-large:llama-4-maverick,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,defendant or respondent names,False,0.0,"defendant or respondent names: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,meta-large:llama-4-maverick,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,document date,False,0.0,"document date: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,meta-large:llama-4-maverick,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,filing type,True,1.0,"filing type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,meta-large:llama-4-maverick,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,case category,True,1.0,"case category: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,meta-large:llama-4-maverick,document-extraction:v2-evidence-bound:markitdown,v2-evidence-bound,markitdown,MA-01,interactive,case type,True,1.0,"case type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,document title,False,0.0,"document title: missing (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,court,True,1.0,"court: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,case title,True,1.0,"case title: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,plaintiff or petitioner names,True,1.0,"plaintiff or petitioner names: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,defendant or respondent names,True,1.0,"defendant or respondent names: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,document date,True,1.0,"document date: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,filing type,True,1.0,"filing type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,case category,False,0.0,"case category: missing (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v1-production:markitdown+fields,v1-production,markitdown+fields,MA-01,interactive,case type,False,0.0,"case type: missing (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown+fields,v2-evidence-bound,markitdown+fields,MA-01,interactive,document title,True,1.0,"document title: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown+fields,v2-evidence-bound,markitdown+fields,MA-01,interactive,court,True,1.0,"court: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown+fields,v2-evidence-bound,markitdown+fields,MA-01,interactive,case title,True,1.0,"case title: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown+fields,v2-evidence-bound,markitdown+fields,MA-01,interactive,plaintiff or petitioner names,True,1.0,"plaintiff or petitioner names: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown+fields,v2-evidence-bound,markitdown+fields,MA-01,interactive,defendant or respondent names,True,1.0,"defendant or respondent names: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown+fields,v2-evidence-bound,markitdown+fields,MA-01,interactive,document date,True,1.0,"document date: matched (synthetic_document_ground_truth, confidence 0.99)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown+fields,v2-evidence-bound,markitdown+fields,MA-01,interactive,filing type,True,1.0,"filing type: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown+fields,v2-evidence-bound,markitdown+fields,MA-01,interactive,case category,True,1.0,"case category: matched (synthetic_semantic_label_unverified, confidence 0.65)"
production-context,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:markitdown+fields,v2-evidence-bound,markitdown+fields,MA-01,interactive,case type,False,0.0,"case type: unexpected value ""Divorce Complaint under G.L. c. 208, § 1B"" (synthetic_semantic_label_unverified, confidence 0.65)"
