suite,provider_label,prompt_label,runs,mean_score,passes,errors,mean_latency_ms,total_tokens,total_cost
modality-vision,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:vision,2,0.837262,2,0,2991,52144,0.0079512
modality-vision,openai-small:gpt-5.4-nano,document-extraction:v1-production:vision,2,0.649384,1,0,3184,2868,0.0010293
modality-vision,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:vision,2,0.60488,2,0,9632,3365,0.00140695
phi-vision-exploratory,meta-large:llama-4-maverick,document-extraction:v1-production:vision,2,1.0,2,0,3713,5823,0
phi-vision-exploratory,meta-large:llama-4-maverick,document-extraction:v2-evidence-bound:vision,2,1.0,2,0,2129,6072,0
phi-vision-exploratory,meta-small:llama-4-scout,document-extraction:v1-production:vision,2,0.0,0,0,2010,5845,0
phi-vision-exploratory,meta-small:llama-4-scout,document-extraction:v2-evidence-bound:vision,2,1.0,2,0,1801,6068,0
phi-vision-exploratory,microsoft-small:phi-4-multimodal,document-extraction:v1-production:vision,2,0.397551,1,1,4646,3800,0
phi-vision-exploratory,microsoft-small:phi-4-multimodal,document-extraction:v2-evidence-bound:vision,2,0.531223,1,0,12621,7945,0
phi-vision-exploratory,openai-large:gpt-4o,document-extraction:v1-production:vision,2,0.858809,2,0,2845,2135,0.00728
phi-vision-exploratory,openai-large:gpt-4o,document-extraction:v2-evidence-bound:vision,2,0.858809,2,0,2310,2388,0.00807
phi-vision-exploratory,openai-large:gpt-5.4,document-extraction:v1-production:vision,2,0.837262,2,0,3606,2907,0.01318
phi-vision-exploratory,openai-large:gpt-5.4,document-extraction:v2-evidence-bound:vision,2,0.837262,2,0,3920,3112,0.013355
phi-vision-exploratory,openai-small:gpt-4o-mini,document-extraction:v1-production:vision,2,0.8679,2,0,1848,51878,0.007896
phi-vision-exploratory,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:vision,2,0.929404,2,0,2570,52141,0.0079494
phi-vision-exploratory,openai-small:gpt-5.4-nano,document-extraction:v1-production:vision,2,0.80244,2,0,3458,2971,0.00115805
phi-vision-exploratory,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound:vision,2,0.735799,2,0,3498,2971,0.00091445
sentinel-text,deepseek-large:deepseek-v4-pro,document-extraction:v1-production,7,0.652631,4,0,2560,4163,0
sentinel-text,deepseek-large:deepseek-v4-pro,document-extraction:v2-evidence-bound,7,0.657923,4,0,7263,6172,0
sentinel-text,deepseek-small:deepseek-v4-flash,document-extraction:v1-production,7,0.529371,3,0,2042,4313,0
sentinel-text,deepseek-small:deepseek-v4-flash,document-extraction:v2-evidence-bound,7,0.576862,4,0,1968,6126,0
sentinel-text,mistral-large:mistral-large-3,document-extraction:v1-production,7,0.310185,2,0,2561,4583,0
sentinel-text,mistral-large:mistral-large-3,document-extraction:v2-evidence-bound,7,0.601174,4,0,4200,6501,0
sentinel-text,mistral-small:mistral-small-2503,document-extraction:v1-production,7,0.514571,4,0,1263,4513,0
sentinel-text,mistral-small:mistral-small-2503,document-extraction:v2-evidence-bound,7,0.525229,4,0,1367,6574,0
sentinel-text,openai-large:gpt-5.4,document-extraction:v1-production,7,0.606082,4,0,7772,5117,0.0354925
sentinel-text,openai-large:gpt-5.4,document-extraction:v2-evidence-bound,7,0.593456,4,0,3781,6889,0.03931
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v1-production,7,0.540507,4,0,2746,4682,0.00238645
sentinel-text,openai-small:gpt-5.4-nano,document-extraction:v2-evidence-bound,7,0.548865,4,0,2589,6129,0.00228315
